x: 52,7000	f: 0,0000
x: 52,8000	f: 0,0000
x: 52,9000	f: 0,0000
x: 53,0000	f: 0,0000
x: 53,1000	f: 0,0000
x: 53,2000	f: 0,0000
x: 53,3000	f: 0,0000
x: 53,4000	f: 0,0000
x: 53,5000	f: 0,0000
x: 53,6000	f: 0,0000
x: 53,7000	f: 0,0000
x: 53,8000	f: 0,0000
x: 53,9000	f: 0,0000
x: 54,0000	f: 0,0000
x: 54,1000	f: 0,0000
x: 54,2000	f: 0,0000
x: 54,3000	f: 0,0000
x: 54,4000	f: 0,0000
x: 54,5000	f: 0,0000
x: 54,6000	f: 0,0000
x: 54,7000	f: 0,0000
x: 54,8000	f: 0,0000
x: 54,9000	f: 0,0000
x: 55,0000	f: 0,0000
x: 55,1000	f: 0,0000
x: 55,2000	f: 0,0000
x: 55,3000	f: 0,0000
x: 55,4000	f: 0,0000
x: 55,5000	f: 0,0000
x: 55,6000	f: 0,0000
x: 55,7000	f: 0,0000
x: 55,8000	f: 0,0000
x: 55,9000	f: 0,0000
x: 56,0000	f: 0,0000
x: 56,1000	f: 0,0000
x: 56,2000	f: 0,0000
x: 56,3000	f: 0,0000
x: 56,4000	f: 0,0000
x: 56,5000	f: 0,0000
x: 56,6000	f: 0,0000
x: 56,7000	f: 0,0000
x: 56,8000	f: 0,0000
x: 56,9000	f: 0,0000
x: 57,0000	f: 0,0000
x: 57,1000	f: 0,0000
x: 57,2000	f: 0,0000
x: 57,3000	f: 0,0000
x: 57,4000	f: 0,0000
x: 57,5000	f: 0,0000
x: 57,6000	f: 0,0000
x: 57,7000	f: 0,0000
x: 57,8000	f: 0,0000
x: 57,9000	f: 0,0000
x: 58,0000	f: 0,0000
x: 58,1000	f: 0,0000
x: 58,2000	f: 0,0000
x: 58,3000	f: 0,0000
x: 58,4000	f: 0,0000
x: 58,5000	f: 0,0000
x: 58,6000	f: 0,0000
x: 58,7000	f: 0,0000
x: 58,8000	f: 0,0000
x: 58,9000	f: 0,0000
x: 59,0000	f: 0,0000
x: 59,1000	f: 0,0000
x: 59,2000	f: 0,0000
x: 59,3000	f: 0,0000
x: 59,4000	f: 0,0000
x: 59,5000	f: 0,0000
x: 59,6000	f: 0,0000
x: 59,7000	f: 0,0000
x: 59,8000	f: 0,0000
x: 59,9000	f: 0,0000
x: 60,0000	f: 0,0000
x: 60,1000	f: 0,0000
x: 60,2000	f: 0,0000
x: 60,3000	f: 0,0000
x: 60,4000	f: 0,0000
x: 60,5000	f: 0,0000
x: 60,6000	f: 0,0000
x: 60,7000	f: 0,0000
x: 60,8000	f: 0,0000
x: 60,9000	f: 0,0000
x: 61,0000	f: 0,0000
x: 61,1000	f: 0,0000
x: 61,2000	f: 0,0000
x: 61,3000	f: 0,0000
x: 61,4000	f: 0,0000
x: 61,5000	f: 0,0000
x: 61,6000	f: 0,0000
x: 61,7000	f: 0,0000
x: 61,8000	f: 0,0000
x: 61,9000	f: 0,0000
x: 62,0000	f: 0,0000
x: 62,1000	f: 0,0000
x: 62,2000	f: 0,0000
x: 62,3000	f: 0,0000
x: 62,4000	f: 0,0000
x: 62,5000	f: 0,0000
x: 62,6000	f: 0,0000
x: 62,7000	f: 0,0000
x: 62,8000	f: 0,0000
x: 62,9000	f: 0,0000
x: 63,0000	f: 0,0000
x: 63,1000	f: 0,0000
x: 63,2000	f: 0,0000
x: 63,3000	f: 0,0000
x: 63,4000	f: 0,0000
x: 63,5000	f: 0,0000
x: 63,6000	f: 0,0000
x: 63,7000	f: 0,0000
x: 63,8000	f: 0,0000
x: 63,9000	f: 0,0000
x: 64,0000	f: 0,0000
x: 64,1000	f: 0,0000
x: 64,2000	f: 0,0000
x: 64,3000	f: 0,0000
x: 64,4000	f: 0,0000
x: 64,5000	f: 0,0000
x: 64,6000	f: 0,0000
x: 64,7000	f: 0,0000
x: 64,8000	f: 0,0000
x: 64,9000	f: 0,0000
x: 65,0000	f: 0,0000
x: 65,1000	f: 0,0000
x: 65,2000	f: 0,0000
x: 65,3000	f: 0,0000
x: 65,4000	f: 0,0000
x: 65,5000	f: 0,0000
x: 65,6000	f: 0,0000
x: 65,7000	f: 0,0000
x: 65,8000	f: 0,0000
x: 65,9000	f: 0,0000
x: 66,0000	f: 0,0000
x: 66,1000	f: 0,0000
